method,model,execFolder,isAdapt,round,chain,value
SSMC,ode.MRNATransfection$Builder,exec_20,true,0,0,0.0
SSMC,ode.MRNATransfection$Builder,exec_20,true,0,1,0.2
SSMC,ode.MRNATransfection$Builder,exec_20,true,0,2,0.4
SSMC,ode.MRNATransfection$Builder,exec_20,true,0,3,0.6000000000000001
SSMC,ode.MRNATransfection$Builder,exec_20,true,0,4,0.8
SSMC,ode.MRNATransfection$Builder,exec_20,true,0,5,1.0
SSMC,ode.MRNATransfection$Builder,exec_20,true,1,0,0.0
SSMC,ode.MRNATransfection$Builder,exec_20,true,1,1,0.014092246304209336
SSMC,ode.MRNATransfection$Builder,exec_20,true,1,2,0.11273691724450943
SSMC,ode.MRNATransfection$Builder,exec_20,true,1,3,0.5428334055750317
SSMC,ode.MRNATransfection$Builder,exec_20,true,1,4,0.5999337316711438
SSMC,ode.MRNATransfection$Builder,exec_20,true,1,5,0.6843180737416601
SSMC,ode.MRNATransfection$Builder,exec_20,true,1,6,0.8408617233038277
SSMC,ode.MRNATransfection$Builder,exec_20,true,1,7,1.0
SSMC,ode.MRNATransfection$Builder,exec_20,true,2,0,0.0
SSMC,ode.MRNATransfection$Builder,exec_20,true,2,1,2.0993909386083617E-4
SSMC,ode.MRNATransfection$Builder,exec_20,true,2,2,0.001679481114903177
SSMC,ode.MRNATransfection$Builder,exec_20,true,2,3,0.005668236713626034
SSMC,ode.MRNATransfection$Builder,exec_20,true,2,4,0.013435816540528438
SSMC,ode.MRNATransfection$Builder,exec_20,true,2,5,0.38305974761689543
SSMC,ode.MRNATransfection$Builder,exec_20,true,2,6,0.5113055730503969
SSMC,ode.MRNATransfection$Builder,exec_20,true,2,7,0.5421162540066928
SSMC,ode.MRNATransfection$Builder,exec_20,true,2,8,0.8818631653158266
SSMC,ode.MRNATransfection$Builder,exec_20,true,2,9,0.9605954149586599
SSMC,ode.MRNATransfection$Builder,exec_20,true,2,10,0.988928774114932
SSMC,ode.MRNATransfection$Builder,exec_20,true,2,11,1.0
SSMC,ode.MRNATransfection$Builder,exec_20,true,3,0,0.0
SSMC,ode.MRNATransfection$Builder,exec_20,true,3,1,3.649307795723622E-6
SSMC,ode.MRNATransfection$Builder,exec_20,true,3,2,2.9194346219380312E-5
SSMC,ode.MRNATransfection$Builder,exec_20,true,3,3,9.853087653997768E-5
SSMC,ode.MRNATransfection$Builder,exec_20,true,3,4,0.003547918957929525
SSMC,ode.MRNATransfection$Builder,exec_20,true,3,5,0.007666692967024907
SSMC,ode.MRNATransfection$Builder,exec_20,true,3,6,0.03391443233645833
SSMC,ode.MRNATransfection$Builder,exec_20,true,3,7,0.06678758511732971
SSMC,ode.MRNATransfection$Builder,exec_20,true,3,8,0.15215003959717519
SSMC,ode.MRNATransfection$Builder,exec_20,true,3,9,0.3396914749325844
SSMC,ode.MRNATransfection$Builder,exec_20,true,3,10,0.5389347720727202
SSMC,ode.MRNATransfection$Builder,exec_20,true,3,11,0.6229208825875805
SSMC,ode.MRNATransfection$Builder,exec_20,true,3,12,0.7657207668605926
SSMC,ode.MRNATransfection$Builder,exec_20,true,3,13,0.8838220963718482
SSMC,ode.MRNATransfection$Builder,exec_20,true,3,14,0.9339347874991291
SSMC,ode.MRNATransfection$Builder,exec_20,true,3,15,0.9687249427405586
SSMC,ode.MRNATransfection$Builder,exec_20,true,3,16,1.0
SSMC,ode.MRNATransfection$Builder,exec_20,true,4,0,0.0
SSMC,ode.MRNATransfection$Builder,exec_20,true,4,1,2.866220273355345E-7
SSMC,ode.MRNATransfection$Builder,exec_20,true,4,2,2.139766544566629E-6
SSMC,ode.MRNATransfection$Builder,exec_20,true,4,3,3.8883389019939146E-4
SSMC,ode.MRNATransfection$Builder,exec_20,true,4,4,0.003473259316630712
SSMC,ode.MRNATransfection$Builder,exec_20,true,4,5,0.011210435757411775
SSMC,ode.MRNATransfection$Builder,exec_20,true,4,6,0.029525565185040136
SSMC,ode.MRNATransfection$Builder,exec_20,true,4,7,0.06803644070581252
SSMC,ode.MRNATransfection$Builder,exec_20,true,4,8,0.13376809207243862
SSMC,ode.MRNATransfection$Builder,exec_20,true,4,9,0.19456469445824293
SSMC,ode.MRNATransfection$Builder,exec_20,true,4,10,0.24931825836182286
SSMC,ode.MRNATransfection$Builder,exec_20,true,4,11,0.31278189242273774
SSMC,ode.MRNATransfection$Builder,exec_20,true,4,12,0.40393643982968197
SSMC,ode.MRNATransfection$Builder,exec_20,true,4,13,0.5131684731708636
SSMC,ode.MRNATransfection$Builder,exec_20,true,4,14,0.582710005704715
SSMC,ode.MRNATransfection$Builder,exec_20,true,4,15,0.6287220138161624
SSMC,ode.MRNATransfection$Builder,exec_20,true,4,16,0.6740972646261196
SSMC,ode.MRNATransfection$Builder,exec_20,true,4,17,0.7161135974329396
SSMC,ode.MRNATransfection$Builder,exec_20,true,4,18,0.7544175999838908
SSMC,ode.MRNATransfection$Builder,exec_20,true,4,19,0.786482974228033
SSMC,ode.MRNATransfection$Builder,exec_20,true,4,20,0.8097300354320389
SSMC,ode.MRNATransfection$Builder,exec_20,true,4,21,0.832591878675601
SSMC,ode.MRNATransfection$Builder,exec_20,true,4,22,0.8641261839252996
SSMC,ode.MRNATransfection$Builder,exec_20,true,4,23,0.9187788214827054
SSMC,ode.MRNATransfection$Builder,exec_20,true,4,24,1.0
SSMC,ode.MRNATransfection$Builder,exec_20,true,5,0,0.0
SSMC,ode.MRNATransfection$Builder,exec_20,true,5,1,4.802168463185157E-8
SSMC,ode.MRNATransfection$Builder,exec_20,true,5,2,1.3519918658198623E-7
SSMC,ode.MRNATransfection$Builder,exec_20,true,5,3,2.2528279398517493E-7
SSMC,ode.MRNATransfection$Builder,exec_20,true,5,4,2.8202279497618864E-7
SSMC,ode.MRNATransfection$Builder,exec_20,true,5,5,1.4545055616503106E-6
SSMC,ode.MRNATransfection$Builder,exec_20,true,5,6,1.1949694917605144E-5
SSMC,ode.MRNATransfection$Builder,exec_20,true,5,7,1.7725586894323494E-4
SSMC,ode.MRNATransfection$Builder,exec_20,true,5,8,0.0025143490728596098
