method,model,execFolder,round,isAdapt,beta,value
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.01,0.06644482313177738
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.02,0.13828135028856775
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.03,0.21455810428948643
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.04,0.29432360795364876
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.05,0.37662638410017024
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.06,0.4605149555481659
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.07,0.5450378451167516
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.08,0.6292435756250422
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.09,0.7121806698921533
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.1,0.7928976507372004
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.11,0.8704430409792985
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.12,0.9438653634375634
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.13,1.01221314093111
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.14,1.074534896279054
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.15,1.1298791523005105
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.16,1.177294431814595
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.17,1.2158292576404233
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.18,1.2445321525971096
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.19,1.2624516395037704
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.2,1.2686362411795207
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.21,1.268636241179521
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.22,1.2686362411795207
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.23,1.2686362411795207
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.24,1.2686362411795207
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.25,1.2686362411795207
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.26,1.2686362411795205
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.27,1.2686362411795207
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.28,1.2686362411795205
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.29,1.2686362411795207
