method,model,execFolder,round,value
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,0,1.021464897258591
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,1,1.895068827603463
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,2,2.8290228879685815
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,3,3.030887554873138
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,4,2.7982323264533138
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,5,2.712246018390071
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,6,3.093060445762179
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,7,2.903930437214503
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,8,2.945921674963068
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,9,2.9961998212776755
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,10,2.917280019765955
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,11,2.957112182531645
SSMC,demos.PhylogeneticTree$Builder,exec_30,0,3.925552238388552
SSMC,demos.PhylogeneticTree$Builder,exec_30,1,6.338255688964443
SSMC,demos.PhylogeneticTree$Builder,exec_30,2,9.45096324447954
SSMC,demos.PhylogeneticTree$Builder,exec_30,3,11.084201460028938
SSMC,demos.PhylogeneticTree$Builder,exec_30,4,13.089145877465354
SSMC,demos.PhylogeneticTree$Builder,exec_30,5,16.024199171549586
SSMC,demos.PhylogeneticTree$Builder,exec_30,6,14.827307430524023
SSMC,demos.PhylogeneticTree$Builder,exec_30,7,12.954468780766753
SSMC,demos.PhylogeneticTree$Builder,exec_30,8,13.152357028389043
SSMC,demos.PhylogeneticTree$Builder,exec_30,9,13.11219163455473
SSMC,demos.PhylogeneticTree$Builder,exec_30,10,13.416281209238328
SSMC,demos.PhylogeneticTree$Builder,exec_30,11,13.33868491240981
SSMC,ode.MRNATransfection$Builder,exec_16,0,3.667895307728311
SSMC,ode.MRNATransfection$Builder,exec_16,1,3.9030189955522756
SSMC,ode.MRNATransfection$Builder,exec_16,2,6.533506300448145
SSMC,ode.MRNATransfection$Builder,exec_16,3,10.244125255780721
SSMC,ode.MRNATransfection$Builder,exec_16,4,10.948651506111652
SSMC,ode.MRNATransfection$Builder,exec_16,5,12.421964013723299
SSMC,ode.MRNATransfection$Builder,exec_16,6,12.054298800722842
