method,model,execFolder,round,isAdapt,beta,value
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.01,6.92992546744313
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.02,7.421522010900196
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.03,7.817970836268796
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.04,8.119271943548933
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.05,8.325425332740604
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.06,8.436431003843813
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.07,8.452288956858556
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.08,8.372999191784837
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.09,8.198561708622652
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.1,7.9289765073720035
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.11,7.564243588032893
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.12,7.104362950605317
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.13,6.549334595089274
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.14,5.899158521484769
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.15,5.153834729791805
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.16,4.313363220010371
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.17,3.3777439921404744
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.18,2.346977046182115
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.19,1.2210623821352895
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.2,0.0
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.21,-1.7763568394002505E-15
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.22,-8.881784197001252E-16
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.23,-8.881784197001252E-16
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.24,-2.6645352591003757E-15
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.25,-2.6645352591003757E-15
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.26,0.0
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.27,0.0
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.28,0.0
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.29,1.7763568394002505E-15
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.3,0.0
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.31,1.7763568394002505E-15
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.32,0.0
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.33,0.0
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.34,-2.6645352591003757E-15
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.35,0.0
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.36,-8.881784197001252E-16
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.37,0.0
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.38,0.0
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.39,-2.220446049250313E-16
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.4,0.0
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.41,0.8666006949848808
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.42,1.664734763017076
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.43,2.3944022040965747
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.44,3.055603018223392
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.45,3.648337205397514
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.46,4.172604765618946
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.47,4.6284056988876845
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.48,5.015740005203735
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.49,5.334607684567098
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.5,5.585008736977768
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.51,5.76694316243575
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.52,5.880410960941042
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.53,5.925412132493641
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.54,5.901946677093552
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.55,5.810014594740769
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.56,5.649615885435297
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.57,5.420750549177141
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.58,5.123418585966286
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.59,4.757619995802747
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.6,4.323354778686511
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.61,4.3396118322970665
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.62,4.351277847337046
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.63,4.358352823806456
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.64,4.360836761705281
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.65,4.35872966103355
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.66,4.35203152179124
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.67,4.3407423439783575
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.68,4.324862127594912
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.69,4.304390872640894
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.7,4.279328579116282
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.71,4.24967524702112
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.72,4.215430876355374
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.73,4.176595467119068
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.74,4.133169019312174
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.75,4.08515153293472
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.76,4.032543007986689
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.77,3.9753434444680824
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.78,3.913552842378909
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.79,3.8471712017191626
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.8,3.776198522488846
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.81,3.6940755686686444
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.82,3.6183518060552196
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.83,3.5490272346485536
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.84,3.4861018544486697
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.85,3.4295756654555483
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.86,3.379448667669184
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.87,3.3357208610896016
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.88,3.2983922457167836
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.89,3.267462821550737
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.9,3.242932588591458
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.91,3.2248015468389433
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.92,3.2130696962932035
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.93,3.207737036954221
