method,model,execFolder,round,value
PT-10,demos.AnnealedMVN$Builder,exec_20,0,4.557674634897505
PT-10,demos.AnnealedMVN$Builder,exec_20,1,3.862169247656154
PT-10,demos.AnnealedMVN$Builder,exec_20,2,4.563619895552307
PT-10,demos.AnnealedMVN$Builder,exec_20,3,3.940830002435223
PT-10,demos.AnnealedMVN$Builder,exec_20,4,4.281623239385805
PT-10,demos.AnnealedMVN$Builder,exec_20,5,3.9740706045578715
PT-10,demos.AnnealedMVN$Builder,exec_20,6,3.8953561909994274
PT-10,demos.AnnealedMVN$Builder,exec_20,7,4.1492895438177095
PT-10,demos.AnnealedMVN$Builder,exec_20,8,4.0379060458428135
PT-10,demos.AnnealedMVN$Builder,exec_20,9,3.9995186623434886
PT-10,demos.AnnealedMVN$Builder,exec_20,10,4.042505597588451
PT-10,demos.AnnealedMVN$Builder,exec_20,11,4.014307580676301
PT-10,demos.AnnealedMVN$Builder,exec_20,12,4.037299146321416
PT-10,demos.AnnealedMVN$Builder,exec_20,13,4.015713513550015
PT-10,demos.AnnealedMVN$Builder,exec_20,14,4.027942216107478
PT-10,demos.UnidentifiableProduct$Builder,exec_30,0,-1098.532954736701
PT-10,demos.UnidentifiableProduct$Builder,exec_30,1,-13.212631216192367
PT-10,demos.UnidentifiableProduct$Builder,exec_30,2,-11.517465415472156
PT-10,demos.UnidentifiableProduct$Builder,exec_30,3,-11.746402531503668
PT-10,demos.UnidentifiableProduct$Builder,exec_30,4,-11.907335551440092
PT-10,demos.UnidentifiableProduct$Builder,exec_30,5,-11.41969767862221
PT-10,demos.UnidentifiableProduct$Builder,exec_30,6,-11.5998415298431
PT-10,demos.UnidentifiableProduct$Builder,exec_30,7,-12.16822922627699
PT-10,demos.UnidentifiableProduct$Builder,exec_30,8,-11.945977577548831
PT-10,demos.UnidentifiableProduct$Builder,exec_30,9,-11.89246749785378
PT-10,demos.UnidentifiableProduct$Builder,exec_30,10,-11.870746085718647
PT-10,demos.UnidentifiableProduct$Builder,exec_30,11,-11.823035889162902
PT-10,demos.UnidentifiableProduct$Builder,exec_30,12,-11.831746577442981
PT-10,demos.UnidentifiableProduct$Builder,exec_30,13,-11.857068434747125
PT-10,demos.UnidentifiableProduct$Builder,exec_30,14,-11.891934603755914
PT-20,demos.ToyMix$Builder,exec_16,0,0.13398142322830686
PT-20,demos.ToyMix$Builder,exec_16,1,-0.2752126659139328
PT-20,demos.ToyMix$Builder,exec_16,2,0.2983147212101134
PT-20,demos.ToyMix$Builder,exec_16,3,-0.22128888956024317
PT-20,demos.ToyMix$Builder,exec_16,4,-0.16822022063658704
PT-20,demos.ToyMix$Builder,exec_16,5,0.15612869180468314
PT-20,demos.ToyMix$Builder,exec_16,6,0.09741613221486922
PT-20,demos.ToyMix$Builder,exec_16,7,-0.03368153227204118
PT-20,demos.ToyMix$Builder,exec_16,8,0.02567969342198051
PT-20,demos.ToyMix$Builder,exec_16,9,-0.006688658925884106
PT-20,demos.ToyMix$Builder,exec_16,10,0.015912754016012443
PT-20,demos.ToyMix$Builder,exec_16,11,-0.003758566921250761
PT-20,demos.ToyMix$Builder,exec_16,12,0.004281570629059317
PT-20,demos.ToyMix$Builder,exec_16,13,0.002531986411256071
PT-20,glms.SpikeSlabClassification$Builder,exec_45,0,-124.52381148856283
PT-20,glms.SpikeSlabClassification$Builder,exec_45,1,-100.9211864702946
PT-20,glms.SpikeSlabClassification$Builder,exec_45,2,-101.68489201661058
PT-20,glms.SpikeSlabClassification$Builder,exec_45,3,-99.35800285166138
PT-20,glms.SpikeSlabClassification$Builder,exec_45,4,-99.49781688888122
PT-20,glms.SpikeSlabClassification$Builder,exec_45,5,-100.16890445942047
PT-20,glms.SpikeSlabClassification$Builder,exec_45,6,-98.87628622769104
PT-20,glms.SpikeSlabClassification$Builder,exec_45,7,-98.83831571253049
PT-20,glms.SpikeSlabClassification$Builder,exec_45,8,-99.57442176167812
PT-20,glms.SpikeSlabClassification$Builder,exec_45,9,-99.20146731624537
PT-20,glms.SpikeSlabClassification$Builder,exec_45,10,-99.47347885343189
PT-20,glms.SpikeSlabClassification$Builder,exec_45,11,-99.53005537953437
PT-20,glms.SpikeSlabClassification$Builder,exec_45,12,-99.35621301242082
PT-20,glms.SpikeSlabClassification$Builder,exec_45,13,-99.35167465926904
SSMC,glms.SpikeSlabClassification$Builder,exec_48,0,-122.75002782156228
SSMC,glms.SpikeSlabClassification$Builder,exec_48,1,-112.17176002889016
SSMC,glms.SpikeSlabClassification$Builder,exec_48,2,-108.32073032342396
SSMC,glms.SpikeSlabClassification$Builder,exec_48,3,-102.53773807709027
SSMC,glms.SpikeSlabClassification$Builder,exec_48,4,-99.13295955773854
SSMC,glms.SpikeSlabClassification$Builder,exec_48,5,-100.02490812089607
SSMC,glms.SpikeSlabClassification$Builder,exec_48,6,-99.28318854760224
SSMC,glms.SpikeSlabClassification$Builder,exec_48,7,-99.76217181658599
SSMC,glms.SpikeSlabClassification$Builder,exec_48,8,-99.4732242171908
SSMC,glms.SpikeSlabClassification$Builder,exec_48,9,-99.78880097980851
SSMC,glms.SpikeSlabClassification$Builder,exec_48,10,-99.48821137555237
SSMC,glms.SpikeSlabClassification$Builder,exec_48,11,-99.46619524169286
SSMC,glms.SpikeSlabClassification$Builder,exec_48,12,-99.28471579792955
SSMC,glms.SpikeSlabClassification$Builder,exec_48,13,-99.34625131644215
SSMC,glms.SpikeSlabClassification$Builder,exec_48,14,-99.32577056366172
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_6,0,-19.908229666223257
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_6,1,-6.636572110525604
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_6,2,-10.307482077043694
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_6,3,-7.736762254353354
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_6,4,-6.524910221748866
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_6,5,-7.763864798271625
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_6,6,-7.025053343190574
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_6,7,-6.366673940790328
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_6,8,-7.139262643570653
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_6,9,-6.7740630353365825
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_6,10,-6.801455728362764
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_6,11,-6.7380388897103884
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_6,12,-6.73108813055175
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_6,13,-6.7522190774192286
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_6,14,-6.758464007344739
PT-10,demos.PhylogeneticTree$Builder,exec_34,0,-1678.4856734927607
PT-10,demos.PhylogeneticTree$Builder,exec_34,1,-1330.0443522126604
PT-10,demos.PhylogeneticTree$Builder,exec_34,2,-1545.9691790040642
PT-10,demos.PhylogeneticTree$Builder,exec_34,3,-1128.733186577005
PT-10,demos.PhylogeneticTree$Builder,exec_34,4,-1039.3805159474284
PT-10,demos.PhylogeneticTree$Builder,exec_34,5,-925.3389291736044
PT-10,demos.PhylogeneticTree$Builder,exec_34,6,-907.4733414027768
PT-10,demos.PhylogeneticTree$Builder,exec_34,7,-893.875517673325
PT-10,demos.PhylogeneticTree$Builder,exec_34,8,-893.4412719258971
PT-10,demos.PhylogeneticTree$Builder,exec_34,9,-894.2413750910449
PT-10,demos.PhylogeneticTree$Builder,exec_34,10,-896.9876067137858
PT-10,demos.PhylogeneticTree$Builder,exec_34,11,-895.2694962906908
PT-10,demos.PhylogeneticTree$Builder,exec_34,12,-894.2887971330838
PT-10,demos.PhylogeneticTree$Builder,exec_34,13,-894.7490258582047
PT-10,demos.PhylogeneticTree$Builder,exec_34,14,-894.4018482560588
SAIS,demos.ToyMix$Builder,exec_8,0,0.6388273359829204
SAIS,demos.ToyMix$Builder,exec_8,1,-0.4261306030629497
SAIS,demos.ToyMix$Builder,exec_8,2,0.013597442136180415
SAIS,demos.ToyMix$Builder,exec_8,3,0.016882688344063812
SAIS,demos.ToyMix$Builder,exec_8,4,-0.0780626948685943
SAIS,demos.ToyMix$Builder,exec_8,5,-0.03902258414355897
SAIS,demos.ToyMix$Builder,exec_8,6,0.02829996772429988
SAIS,demos.ToyMix$Builder,exec_8,7,-0.013551680716645365
SAIS,demos.ToyMix$Builder,exec_8,8,-0.024444491004661728
SAIS,demos.ToyMix$Builder,exec_8,9,0.02258225600079644
SAIS,demos.ToyMix$Builder,exec_8,10,0.003926121263760685
SAIS,demos.ToyMix$Builder,exec_8,11,1.2470024702793125E-4
SAIS,demos.ToyMix$Builder,exec_8,12,-0.003703004830997614
