method,model,execFolder,round,iteration,annealingParameter,logNormalization,deltaIterations,deltaAnnealingParameter
SSMC,demos.PhylogeneticTree$Builder,exec_30,0,1,0.4,-216.3444767611221,1,0.4
SSMC,demos.PhylogeneticTree$Builder,exec_30,0,3,0.8,-632.5824001112547,2,0.4
SSMC,demos.PhylogeneticTree$Builder,exec_30,1,1,0.13820300055578053,-24.73371008680629,1,0.13820300055578053
SSMC,demos.PhylogeneticTree$Builder,exec_30,1,2,0.5506851579308191,-185.923445198914,1,0.41248215737503857
SSMC,demos.PhylogeneticTree$Builder,exec_30,1,3,0.5996403421134257,-721.6598558690124,1,0.04895518418260658
SSMC,demos.PhylogeneticTree$Builder,exec_30,1,5,0.7781692386224457,-834.8644598511199,2,0.17852889650902004
SSMC,demos.PhylogeneticTree$Builder,exec_30,2,1,0.016941717890897802,-6.593527474882077,1,0.016941717890897802
SSMC,demos.PhylogeneticTree$Builder,exec_30,2,2,0.0800565796382359,-25.510763182202865,1,0.0631148617473381
SSMC,demos.PhylogeneticTree$Builder,exec_30,2,3,0.2902980968172221,-112.15410398520555,1,0.21024151717898618
SSMC,demos.PhylogeneticTree$Builder,exec_30,2,4,0.5620322259837555,-391.05840775656685,1,0.2717341291665334
SSMC,demos.PhylogeneticTree$Builder,exec_30,2,5,0.6254196683393944,-744.5058962372675,1,0.06338744235563898
SSMC,demos.PhylogeneticTree$Builder,exec_30,2,6,0.6539021038429482,-824.7142677914042,1,0.028482435503553782
SSMC,demos.PhylogeneticTree$Builder,exec_30,2,8,0.7419749859643401,-901.7730968767887,2,0.08807288212139186
SSMC,demos.PhylogeneticTree$Builder,exec_30,2,9,0.8476863991682033,-964.3247322121296,1,0.10571141320386324
SSMC,demos.PhylogeneticTree$Builder,exec_30,3,2,0.009065730839452186,-4.724273916890775,2,0.009065730839452186
SSMC,demos.PhylogeneticTree$Builder,exec_30,3,3,0.05846160826996161,-15.669453123618968,1,0.049395877430509424
SSMC,demos.PhylogeneticTree$Builder,exec_30,3,4,0.12962950736638415,-85.99942523989108,1,0.07116789909642254
SSMC,demos.PhylogeneticTree$Builder,exec_30,3,5,0.20959907774968844,-184.0042568277668,1,0.0799695703833043
SSMC,demos.PhylogeneticTree$Builder,exec_30,3,6,0.35453175753260213,-292.41893670926373,1,0.1449326797829137
SSMC,demos.PhylogeneticTree$Builder,exec_30,3,7,0.5624882395270608,-486.2562587137442,1,0.2079564819944587
SSMC,demos.PhylogeneticTree$Builder,exec_30,3,8,0.6098964477664321,-753.8572847188358,1,0.04740820823937131
SSMC,demos.PhylogeneticTree$Builder,exec_30,3,9,0.630663730012838,-811.9503445975881,1,0.020767282246405894
SSMC,demos.PhylogeneticTree$Builder,exec_30,3,11,0.6955775690936296,-883.2505501477392,2,0.06491383908079151
SSMC,demos.PhylogeneticTree$Builder,exec_30,3,12,0.7249101618528517,-914.0115195954202,1,0.029332592759222176
SSMC,demos.PhylogeneticTree$Builder,exec_30,3,13,0.8408172070146219,-948.2584043341765,1,0.1159070451617702
SSMC,demos.PhylogeneticTree$Builder,exec_30,3,14,0.9278284120468951,-1081.2418268058987,1,0.08701120503227322
SSMC,demos.PhylogeneticTree$Builder,exec_30,4,1,0.0026490106155957686,-1.9861121219994389,1,0.0026490106155957686
SSMC,demos.PhylogeneticTree$Builder,exec_30,4,2,0.005188588347684242,-4.529617717149547,1,0.002539577732088473
SSMC,demos.PhylogeneticTree$Builder,exec_30,4,3,0.0143806663695147,-7.950662134159742,1,0.009192078021830459
SSMC,demos.PhylogeneticTree$Builder,exec_30,4,4,0.02694061248519952,-19.48181836698448,1,0.012559946115684818
SSMC,demos.PhylogeneticTree$Builder,exec_30,4,5,0.05073582740431175,-34.60016806144074,1,0.02379521491911223
SSMC,demos.PhylogeneticTree$Builder,exec_30,4,6,0.1032956750198864,-62.8343763943925,1,0.052559847615574654
SSMC,demos.PhylogeneticTree$Builder,exec_30,4,7,0.14937743231657333,-123.65243780750183,1,0.046081757296686926
SSMC,demos.PhylogeneticTree$Builder,exec_30,4,8,0.1754970268719541,-176.06061248293494,1,0.026119594555380765
SSMC,demos.PhylogeneticTree$Builder,exec_30,4,9,0.22210578723252072,-205.3538676108663,1,0.04660876036056663
SSMC,demos.PhylogeneticTree$Builder,exec_30,4,10,0.3092139350270687,-256.54392165709254,1,0.08710814779454795
