method,model,execFolder,round,value
SAIS,glms.SpikeSlabClassification$Builder,exec_48,1,5.670129981337136
SAIS,glms.SpikeSlabClassification$Builder,exec_48,2,10.63052922070224
SAIS,glms.SpikeSlabClassification$Builder,exec_48,3,5.315919905924769
SAIS,glms.SpikeSlabClassification$Builder,exec_48,4,11.060005745165128
SAIS,glms.SpikeSlabClassification$Builder,exec_48,5,17.15283688750586
SAIS,glms.SpikeSlabClassification$Builder,exec_48,6,22.742876050534
SAIS,glms.SpikeSlabClassification$Builder,exec_48,7,49.38081283705437
SAIS,glms.SpikeSlabClassification$Builder,exec_48,8,97.61886645624718
SAIS,glms.SpikeSlabClassification$Builder,exec_48,9,181.16255907728203
SAIS,glms.SpikeSlabClassification$Builder,exec_48,10,364.9758017162991
SAIS,glms.SpikeSlabClassification$Builder,exec_48,11,715.2391355401005
SAIS,glms.SpikeSlabClassification$Builder,exec_48,12,1458.5040082295177
SAIS,glms.SpikeSlabClassification$Builder,exec_48,13,2857.536818739265
SAIS,glms.SpikeSlabClassification$Builder,exec_48,14,5494.360128952727
SAIS,glms.SpikeSlabClassification$Builder,exec_48,15,11188.894214751923
SAIS,demos.DiscreteMultimodal$Builder,exec_6,1,56.34390028504848
SAIS,demos.DiscreteMultimodal$Builder,exec_6,2,155.27485034260775
SAIS,demos.DiscreteMultimodal$Builder,exec_6,3,361.63838006634666
SAIS,demos.DiscreteMultimodal$Builder,exec_6,4,1004.3438101549356
SAIS,demos.DiscreteMultimodal$Builder,exec_6,5,943.4683137310427
SAIS,demos.DiscreteMultimodal$Builder,exec_6,6,1559.3866884928186
SAIS,demos.DiscreteMultimodal$Builder,exec_6,7,3904.3751483030705
SAIS,demos.DiscreteMultimodal$Builder,exec_6,8,6061.991505777129
SAIS,demos.DiscreteMultimodal$Builder,exec_6,9,15533.879870070436
SAIS,demos.DiscreteMultimodal$Builder,exec_6,10,24540.77444640409
SAIS,demos.DiscreteMultimodal$Builder,exec_6,11,56240.625275917526
SAIS,demos.DiscreteMultimodal$Builder,exec_6,12,105668.46349931533
SAIS,demos.DiscreteMultimodal$Builder,exec_6,13,209434.40523574778
SAIS,demos.DiscreteMultimodal$Builder,exec_6,14,415516.45193270745
SAIS,demos.DiscreteMultimodal$Builder,exec_6,15,840674.092004137
