method,model,execFolder,round,isAdapt,nExplorationSteps,value
PT-10,demos.AnnealedMVN$Builder,exec_20,0,true,450,74
PT-10,demos.AnnealedMVN$Builder,exec_20,1,true,750,26
PT-10,demos.AnnealedMVN$Builder,exec_20,2,true,1500,25
PT-10,demos.AnnealedMVN$Builder,exec_20,3,true,3000,48
PT-10,demos.AnnealedMVN$Builder,exec_20,4,true,6000,76
PT-10,demos.AnnealedMVN$Builder,exec_20,5,true,12000,114
PT-10,demos.AnnealedMVN$Builder,exec_20,6,true,24000,186
PT-10,demos.AnnealedMVN$Builder,exec_20,7,true,48000,436
PT-10,demos.AnnealedMVN$Builder,exec_20,8,true,96000,672
PT-10,demos.AnnealedMVN$Builder,exec_20,9,true,192000,1014
PT-10,demos.AnnealedMVN$Builder,exec_20,10,true,384000,2000
PT-10,demos.AnnealedMVN$Builder,exec_20,11,true,768000,4107
PT-10,demos.AnnealedMVN$Builder,exec_20,12,true,1536150,7959
PT-10,demos.AnnealedMVN$Builder,exec_20,13,true,3072150,16004
PT-10,demos.AnnealedMVN$Builder,exec_20,14,false,6144000,32133
PT-10,demos.UnidentifiableProduct$Builder,exec_30,0,true,180,93
PT-10,demos.UnidentifiableProduct$Builder,exec_30,1,true,300,56
PT-10,demos.UnidentifiableProduct$Builder,exec_30,2,true,600,65
PT-10,demos.UnidentifiableProduct$Builder,exec_30,3,true,1200,72
PT-10,demos.UnidentifiableProduct$Builder,exec_30,4,true,2400,110
PT-10,demos.UnidentifiableProduct$Builder,exec_30,5,true,4800,223
PT-10,demos.UnidentifiableProduct$Builder,exec_30,6,true,9600,392
PT-10,demos.UnidentifiableProduct$Builder,exec_30,7,true,19200,915
PT-10,demos.UnidentifiableProduct$Builder,exec_30,8,true,38400,1063
PT-10,demos.UnidentifiableProduct$Builder,exec_30,9,true,76800,2071
PT-10,demos.UnidentifiableProduct$Builder,exec_30,10,true,153600,4072
PT-10,demos.UnidentifiableProduct$Builder,exec_30,11,true,307200,7873
PT-10,demos.UnidentifiableProduct$Builder,exec_30,12,true,614460,16213
PT-10,demos.UnidentifiableProduct$Builder,exec_30,13,true,1228860,32177
PT-10,demos.UnidentifiableProduct$Builder,exec_30,14,false,2457600,59551
PT-20,demos.ToyMix$Builder,exec_16,0,true,180,70
PT-20,demos.ToyMix$Builder,exec_16,1,true,300,29
PT-20,demos.ToyMix$Builder,exec_16,2,true,600,52
PT-20,demos.ToyMix$Builder,exec_16,3,true,1200,44
PT-20,demos.ToyMix$Builder,exec_16,4,true,2400,89
PT-20,demos.ToyMix$Builder,exec_16,5,true,4800,150
PT-20,demos.ToyMix$Builder,exec_16,6,true,9600,308
PT-20,demos.ToyMix$Builder,exec_16,7,true,19200,468
PT-20,demos.ToyMix$Builder,exec_16,8,true,38400,759
PT-20,demos.ToyMix$Builder,exec_16,9,true,76800,1479
PT-20,demos.ToyMix$Builder,exec_16,10,true,153600,2981
PT-20,demos.ToyMix$Builder,exec_16,11,true,307260,5954
PT-20,demos.ToyMix$Builder,exec_16,12,true,614460,11803
PT-20,demos.ToyMix$Builder,exec_16,13,false,1228800,23753
PT-20,glms.SpikeSlabClassification$Builder,exec_45,0,true,3420,849
PT-20,glms.SpikeSlabClassification$Builder,exec_45,1,true,5700,696
PT-20,glms.SpikeSlabClassification$Builder,exec_45,2,true,11400,1263
PT-20,glms.SpikeSlabClassification$Builder,exec_45,3,true,22800,2413
PT-20,glms.SpikeSlabClassification$Builder,exec_45,4,true,45600,4809
PT-20,glms.SpikeSlabClassification$Builder,exec_45,5,true,91200,9542
PT-20,glms.SpikeSlabClassification$Builder,exec_45,6,true,182400,19248
PT-20,glms.SpikeSlabClassification$Builder,exec_45,7,true,364800,38475
PT-20,glms.SpikeSlabClassification$Builder,exec_45,8,true,729600,75696
PT-20,glms.SpikeSlabClassification$Builder,exec_45,9,true,1459200,152947
PT-20,glms.SpikeSlabClassification$Builder,exec_45,10,true,2918400,305627
PT-20,glms.SpikeSlabClassification$Builder,exec_45,11,true,5837940,607742
PT-20,glms.SpikeSlabClassification$Builder,exec_45,12,true,11674740,1211495
PT-20,glms.SpikeSlabClassification$Builder,exec_45,13,false,23347200,2423879
SSMC,glms.SpikeSlabClassification$Builder,exec_48,0,true,1425.0,506
SSMC,glms.SpikeSlabClassification$Builder,exec_48,1,true,3648.0,551
SSMC,glms.SpikeSlabClassification$Builder,exec_48,2,true,8208.0,1316
SSMC,glms.SpikeSlabClassification$Builder,exec_48,3,true,16473.0,2482
SSMC,glms.SpikeSlabClassification$Builder,exec_48,4,true,35625.0,5624
